,precision,recall,f1-score,support
0,0.9069767441860465,0.9285714285714286,0.9176470588235294,42.0
1,0.9577464788732394,0.9444444444444444,0.951048951048951,72.0
accuracy,0.9385964912280702,0.9385964912280702,0.9385964912280702,0.9385964912280702
macro avg,0.9323616115296429,0.9365079365079365,0.9343480049362403,114.0
weighted avg,0.9390418397779577,0.9385964912280702,0.9387429907553746,114.0
